Floor;-0.02056351;0.999693;0.01382323;1.069498;
Head;1.245182;0.6265554;3.508029;
ShoulderCenter;1.377272;0.4281521;3.460463;
ShoulderRight;1.427831;0.3166814;3.297841;
ShoulderLeft;1.296582;0.2323992;3.477286;
ElbowRight;1.458322;0.0560331;3.136934;
ElbowLeft;1.281444;0.01752307;3.423536;
WristRight;1.377723;-0.1345358;3.057182;
WristLeft;1.258347;-0.190985;3.462422;
HandRight;1.331999;-0.2264792;3.067433;
HandLeft;1.304022;-0.2587657;3.399422;
Spine;1.343823;0.007658899;3.380693;
HipCenter;1.337133;-0.07643975;3.368501;
HipRight;1.362586;-0.1087372;3.31846;
HipLeft;1.303524;-0.1466642;3.39673;
KneeRight;1.507058;-0.6188853;3.268125;
KneeLeft;1.198545;-0.663865;3.457249;
AnkleRight;1.681264;-0.978392;3.233482;
AnkleLeft;1.039128;-1.044764;3.426243;
FootRight;1.676041;-1.073117;3.211459;
FootLeft;0.9718566;-1.08067;3.382441;
Head;1.25722;0.6195725;3.530492;
ShoulderCenter;1.35921;0.4319536;3.470606;
ShoulderRight;1.390188;0.3166328;3.309954;
ShoulderLeft;1.253252;0.2530527;3.488595;
ElbowRight;1.41598;0.06126253;3.154253;
ElbowLeft;1.256451;0.02285567;3.392969;
WristRight;1.330371;-0.1375987;3.100665;
WristLeft;1.216381;-0.2434719;3.453331;
HandRight;1.31762;-0.1486401;3.029127;
HandLeft;1.203025;-0.3322478;3.478602;
Spine;1.301679;0.01091204;3.398548;
HipCenter;1.289851;-0.07353434;3.387791;
HipRight;1.313425;-0.1125494;3.333279;
HipLeft;1.253786;-0.1410868;3.420543;
KneeRight;1.512674;-0.6530047;3.25418;
KneeLeft;1.179173;-0.6640367;3.469053;
AnkleRight;1.681518;-0.9910513;3.226713;
AnkleLeft;1.039585;-1.043673;3.425145;
FootRight;1.676598;-1.073073;3.212952;
FootLeft;0.9599956;-1.101454;3.429165;
Head;1.156659;0.5797026;3.483961;
